"","latitude","longitude","count"
"1",-73.8519496,40.865412,106
"2",-73.8961789,40.6579899,1009
"3",-73.9982515,40.7244618,112
"4",-73.9033274,40.6418832,571
"5",-73.9297471,40.6463192,339
"6",-73.9466138,40.8164218,147
"7",-73.949845,40.6768827,108
"8",-73.9604547,40.6101927,62
"9",-73.8571531,40.8311038,13
"10",-73.9011331,40.8416035,116
"11",-73.873036,40.7340415,933
"12",-73.9837005,40.6942157,199
"13",-73.9510024,40.7825512,103
"14",-73.9495271,40.7861708,33
"15",-73.9971756,40.7496505,54
"16",-73.7639261,40.7241362,455
"17",-73.9900696,40.7517748,840
"18",-73.85121,40.832647,10
"19",-73.978452,40.7814934,36
"20",-73.9539099,40.7778988,81
"21",-73.9656177,40.7744146,1143
"22",-74.2154028,40.5210879,9
"23",-74.0090187,40.6497863,30
"24",-73.8246792,40.7396271,70
"25",-73.9617361,40.7641964,916
"26",-73.9050863,40.8327501,1987
"27",-73.9847724,40.7692123,437
"28",-73.957315,40.8043677,34
"29",-73.9582361,40.8031131,21
"30",-73.9463767,40.6919654,148
"31",-73.9160033,40.8233969,4
"32",-73.9882141,40.7607273,280
"33",-73.930067,40.6825825,29
"34",-74.008299,40.626361,76
"35",-73.9531463,40.6569204,191
"36",-73.9438284,40.8219569,31
"37",-74.0059728,40.7127753,1471
"38",-74.1079785,40.5695651,52
"39",-73.9189152,40.6349533,280
"40",-73.9440494,40.6659165,36
"41",-73.9996537,40.7425823,52
"42",-73.9007852,40.7597184,184
"43",-73.867268,40.827554,21
"44",-73.9865588,40.7708193,38
"45",-73.9617361,40.7641964,916
"46",-73.9605343,40.8124199,2408
"47",-73.8990005,40.8654309,337
"48",-73.7704173,40.6581804,146
"49",-73.8326205,40.7601739,76
"50",-73.743666,40.7198949,13
"51",-73.9434877,40.8209817,37
"52",-73.993978,40.695463,30
"53",-73.863768,40.8986567,3
"54",-73.8605279,40.8160422,90
"55",-74.001068,40.7391446,130
"56",-73.8499172,40.827097,147
"57",-73.9050863,40.8327501,1987
"58",-73.9050863,40.8327501,1987
"59",-73.9605343,40.8124199,2408
"60",-73.8870734,40.8167524,16
"61",-73.9825664,40.7313474,191
"62",-73.8317622,40.847193,28
"63",-73.9072534,40.8198984,11
"64",-73.95387,40.8079728,27
"65",-74.0010404,40.7074517,42
"66",-73.8622805,40.7499212,417
